overlap	#patterns	TP	FP	FN	Precision	Recall	Runtime(sec)
0	3	367118	29135	91209	0.9264737427855436	0.8009957955782662	34.48
10	4	402661	31808	55666	0.9267887927562151	0.8785452308068257	34.22
20	5	419660	33828	38667	0.9254048618706558	0.9156344705854117	34.92
30	6	433087	36034	25240	0.9231882605980121	0.9449301481256832	34.57
40	11	447502	40010	10825	0.9179302253072745	0.9763814918169779	36.0
45	21	452936	43015	5391	0.9132676413597312	0.9882376556476054	48.48
46	26	453859	43650	4468	0.9122628937365957	0.9902515016571138	50.05
47	35	454860	44413	3467	0.9110446589340901	0.99243553183644	52.07
48	51	455874	45474	2453	0.9092965365374949	0.9946479260440689	55.86
49	101	456638	46484	1689	0.9076088900902763	0.9963148581689493	64.76
